,DATE_TIME,TEMPERATURE,Dew_Point,Wind_Direction,Wind_Speed
228,2021-01-09 04:59:00,,,,
229,2021-01-09 05:51:00,-0.6,-8.3,360.0,6.7
230,2021-01-09 06:51:00,-1.1,-8.9,360.0,9.8
231,2021-01-09 07:51:00,-1.7,-9.4,360.0,8.8
232,2021-01-09 08:51:00,-2.2,-9.4,350.0,7.7
233,2021-01-09 09:51:00,-3.3,-10.0,350.0,8.2
234,2021-01-09 10:51:00,-3.3,-10.6,350.0,7.2
235,2021-01-09 11:51:00,-3.3,-10.6,350.0,6.2
236,2021-01-09 12:51:00,-3.3,-11.1,350.0,7.2
237,2021-01-09 13:51:00,-1.7,-11.1,340.0,6.7
238,2021-01-09 14:51:00,-0.6,-11.1,350.0,8.8
239,2021-01-09 15:51:00,1.1,-10.0,340.0,8.8
240,2021-01-09 16:51:00,1.1,-10.0,340.0,8.2
241,2021-01-09 17:51:00,2.8,-8.9,340.0,9.3
242,2021-01-09 18:51:00,3.3,-8.3,360.0,6.2
243,2021-01-09 19:51:00,3.3,-8.9,350.0,7.2
244,2021-01-09 20:51:00,2.2,-10.0,340.0,10.3
245,2021-01-09 21:51:00,1.7,-11.1,340.0,8.2
246,2021-01-09 22:51:00,2.2,-10.0,340.0,6.7
247,2021-01-09 23:51:00,1.7,-9.4,340.0,5.1
248,2021-01-10 00:51:00,2.2,-10.0,330.0,6.2
249,2021-01-10 01:51:00,2.2,-8.9,340.0,6.7
250,2021-01-10 02:51:00,1.7,-8.3,350.0,6.2
251,2021-01-10 03:51:00,1.1,-7.8,350.0,7.2
252,2021-01-10 04:51:00,0.6,-7.8,340.0,6.7
253,2021-01-10 04:59:00,,,,
254,2021-01-10 05:51:00,0.6,-8.3,340.0,7.2
255,2021-01-10 06:51:00,0.6,-8.3,340.0,5.1
256,2021-01-10 07:51:00,0.0,-8.3,350.0,7.2
257,2021-01-10 08:51:00,0.0,-8.3,340.0,6.2
258,2021-01-10 09:51:00,-0.6,-8.3,360.0,7.7
259,2021-01-10 10:51:00,-1.1,-8.3,340.0,6.2
260,2021-01-10 11:51:00,-1.1,-8.9,350.0,7.2
261,2021-01-10 12:51:00,-1.1,-8.3,340.0,6.2
262,2021-01-10 13:51:00,0.0,-8.3,340.0,7.7
263,2021-01-10 14:51:00,1.1,-7.8,340.0,5.1
264,2021-01-10 15:51:00,2.2,-7.8,340.0,6.7
265,2021-01-10 16:51:00,2.8,-7.2,320.0,5.7
266,2021-01-10 17:51:00,3.3,-7.8,350.0,6.2
267,2021-01-10 18:51:00,5.6,-7.8,350.0,5.7
268,2021-01-10 19:51:00,5.6,-7.8,360.0,5.1
269,2021-01-10 20:51:00,4.4,-8.3,360.0,5.1
270,2021-01-10 21:51:00,3.3,-7.8,350.0,3.6
271,2021-01-10 22:51:00,1.1,-7.2,360.0,3.1
272,2021-01-10 23:51:00,1.7,-6.7,10.0,2.1
273,2021-01-11 00:51:00,0.6,-6.1,30.0,2.1
274,2021-01-11 01:51:00,0.6,-6.1,330.0,2.1
275,2021-01-11 02:51:00,-0.6,-6.7,340.0,2.1
276,2021-01-11 03:51:00,-0.6,-7.2,350.0,4.1
277,2021-01-11 04:51:00,-1.1,-7.2,320.0,3.6
278,2021-01-11 04:59:00,,,,
279,2021-01-11 05:51:00,-1.1,-7.2,310.0,4.1
280,2021-01-11 06:51:00,-2.2,-7.8,10.0,3.6
281,2021-01-11 07:51:00,-3.3,-7.8,350.0,3.6
282,2021-01-11 08:51:00,-2.8,-7.8,340.0,3.6
283,2021-01-11 09:51:00,-2.8,-7.8,320.0,2.6
284,2021-01-11 10:51:00,-2.2,-7.2,320.0,2.1
285,2021-01-11 11:51:00,-2.2,-6.7,340.0,2.1
286,2021-01-11 12:51:00,-1.7,-6.1,10.0,2.6
287,2021-01-11 13:51:00,-0.6,-5.6,360.0,2.1
288,2021-01-11 14:51:00,1.1,-5.0,350.0,2.1
289,2021-01-11 15:51:00,1.7,-5.0,,
290,2021-01-11 16:51:00,1.7,-5.0,210.0,1.5
291,2021-01-11 17:51:00,1.7,-5.0,250.0,2.1
292,2021-01-11 18:51:00,3.3,-4.4,270.0,4.1
293,2021-01-11 19:51:00,3.3,-5.0,230.0,3.1
294,2021-01-11 20:51:00,2.2,-5.0,220.0,2.6
295,2021-01-11 21:51:00,0.6,-4.4,220.0,3.1
296,2021-01-11 22:51:00,1.1,-3.3,,
297,2021-01-11 23:51:00,1.1,-3.3,,
298,2021-01-12 00:51:00,0.6,-3.3,250.0,2.6
299,2021-01-12 01:51:00,1.1,-3.9,260.0,1.5
300,2021-01-12 02:51:00,1.1,-3.9,230.0,1.5
301,2021-01-12 03:51:00,-1.1,-4.4,,
302,2021-01-12 04:51:00,-0.6,-3.9,,
303,2021-01-12 04:59:00,,,,
304,2021-01-12 05:51:00,0.0,-3.9,260.0,2.6
305,2021-01-12 06:51:00,-1.7,-4.4,240.0,2.6
306,2021-01-12 07:51:00,-1.1,-3.9,240.0,2.6
307,2021-01-12 08:51:00,-2.2,-4.4,230.0,3.1
308,2021-01-12 09:51:00,-1.7,-4.4,220.0,3.1
309,2021-01-12 10:51:00,-1.1,-3.9,230.0,2.6
310,2021-01-12 11:51:00,-1.1,-4.4,250.0,2.6
